Code, Description, CodeType, Deprecated, Created, Modified, 
101170, Myxine glutinosa, SpecWoRMS, False, 2013-11-27, 2013-11-27, 
101172, Lampetra fluviatilis, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
101174, Petromyzon marinus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
10193, Elasmobranchii, SpecWoRMS, False, 2013-05-02, 2016-06-23, 
105695, Triakidae, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105700, Alopiidae, SpecWoRMS, False, 2016-06-23, 2016-06-23, 
105711, Rajidae, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105727, Apristurus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
105729, Scyliorhinus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
105732, Mustelus, SpecWoRMS, False, 2015-02-10, 2015-02-10, 
105740, Alopias, SpecWoRMS, False, 2013-12-09, 2015-12-14, 
105801, Prionace glauca, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105812, Galeus melastomus, SpecWoRMS, False, 2013-12-09, 2015-12-14, 
105814, Scyliorhinus canicula, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105815, Scyliorhinus stellaris, SpecWoRMS, False, 2013-12-09, 2015-12-14, 
105820, Galeorhinus galeus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105821, Mustelus asterias, SpecWoRMS, False, 2013-11-27, 2015-12-14, 
105822, Mustelus mustelus, SpecWoRMS, False, 2013-12-09, 2015-12-14, 
105824, Chimaera monstrosa, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
105833, Hexanchus griseus, SpecWoRMS, False, 2013-12-08, 2013-12-08, 
105837, Cetorhinus maximus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105839, Isurus oxyrinchus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105841, Lamna nasus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105865, Amblyraja radiata, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105869, Dipturus batis, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105871, Dipturus nidarosiensis, SpecWoRMS, False, 2013-12-08, 2013-12-08, 
105873, Leucoraja circularis, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105874, Leucoraja fullonica, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105876, Leucoraja naevus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105883, Raja clavata, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105885, Raja microocellata, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105887, Raja montagui, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105891, Raja undulata, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105896, Rostroraja alba, SpecWoRMS, False, 2014-05-06, 2015-12-14, 
105901, Centrophorus squamosus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105907, Centroscymnus coelolepis, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105910, Dalatias licha, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105923, Squalus acanthias, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
105928, Squatina squatina, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
107044, Pandalus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
107254, Nephrops norvegicus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
107276, Cancer pagurus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
107649, Pandalus borealis, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
11707, Cephalopoda, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
125464, Clupeidae, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
125493, Lophiidae, SpecWoRMS, False, 2016-03-07, 2016-03-07, 
125498, Myctophidae, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
125516, Ammodytidae, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
125522, Callionymidae, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
125537, Gobiidae, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
125541, Labridae, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
125581, Soleidae, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
125589, Cottidae, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
